,nlm doc,db schema,table,column,data type,CTTI note,enumerations,source
,,ctgov,studies,disposition_first_submitted_qc_date,date,"Per NLM: ""The _submitted_qc suffix indicates the submission date of the version of the record that met quality control criteria. It is common for there to be revisions between the first submission and the submission that meets qc criteria. Note this is not the date that the qc review was completed.""",,ProtocolSection.StatusModule.DispFirstSubmitQCDate
,,ctgov,studies,disposition_first_posted_date,date,"Per NLM: ""The _posted suffix indicates the date that a submission was made public on ClinicalTrials.gov. Typically, posting occurs the business day after qc review was successfully completed. We began collecting posted dates in early 2017. Dates from before then are estmates. All posted dates include a type attribute of Actual or Estimate.""",,ProtocolSection.StatusModule.DispFirstPostDateStruct.DispFirstPostDate
,,ctgov,studies,ipd_access_criteria,string,,,ProtocolSection.IPDSharingStatementModule.IPDSharingAccessCriteria
,,ctgov,studies,results_first_submitted_qc_date,date,"Per NLM: ""The _submitted_qc suffix indicates the submission date of the version of the record that met quality control criteria. It is common for there to be revisions between the first submission and the submission that meets qc criteria. Note this is not the date that the qc review was completed.""",,ProtocolSection.StatusModule.ResultsFirstSubmitQCDate
,,ctgov,studies,results_first_posted_date,date,"Per NLM: ""The _posted suffix indicates the date that a submission was made public on ClinicalTrials.gov. Typically, posting occurs the business day after qc review was successfully completed. We began collecting posted dates in early 2017. Dates from before then are estmates. All posted dates include a type attribute of Actual or Estimate.""",,ProtocolSection.StatusModule.ResultsFirstPostDateStruct.ResultsFirstPostDate
,,ctgov,studies,last_update_submitted_qc_date,date,"Per NLM: ""The _submitted_qc suffix indicates the submission date of the version of the record that met quality control criteria. It is common for there to be revisions between the first submission and the submission that meets qc criteria. Note this is not the date that the qc review was completed.""",,ProtocolSection.StatusModule.LastUpdateSubmitDate
,,ctgov,studies,last_update_posted_date,date,"Per NLM: ""From a utility standpoint, the new  date is likely the date that most people want to search. We previously did not have this date available and the old  was the closest alternative, though problematic because it never meant what was implied by the name. The _posted suffix indicates the date that a submission was made public on ClinicalTrials.gov. Typically, posting occurs the business day after qc review was successfully completed. We began collecting posted dates in early 2017. Dates from before then are estmates. All posted dates include a type attribute of Actual or Estimate.""",,ProtocolSection.StatusModule.LastUpdatePostDateStruct.LastUpdatePostDate
,LastFollowUpDate,ctgov,studies,target_duration,string,,,ProtocolSection.DesignModule.TargetDuration
,BaselineAnalysisPopulation,ctgov,studies,baseline_population,text,,,ResultsSection.BaselineCharacteristicsModule.BaselinePopulationDescription
,Acronym,ctgov,studies,acronym,string,,,ProtocolSection.IdentificationModule.Acronym
,BriefTitle,ctgov,studies,brief_title,text,,,ProtocolSection.IdentificationModule.BriefTitle
,,ctgov,browse_conditions,id,integer,AACT assigned primary key,,n/a
,LastFollowUpDate,ctgov,studies,completion_date_type,string,,"Actual (279,747 - 58.23%)Anticipated (177,006 - 36.85%)null (23,650 - 4.92%)",ProtocolSection.StatusModule.CompletionDateStruct.CompletionDateType
,PrimaryCompletionDate,ctgov,studies,primary_completion_date_type,string,,"Actual (291,817 - 60.74%)Anticipated (166,685 - 34.7%)null (21,901 - 4.56%)",ProtocolSection.StatusModule.PrimaryCompletionDateStruct.PrimaryCompletionDateType
,,ctgov,pending_results,event,string,Uses the tag label to identify the type of event this row represents,"Release (12,939 - 50.0%)Reset (11,874 - 45.88%)Unrelease (1,065 - 4.12%)",AnnotationSection.AnnotationModule.UnpostedAnnotation.UnpostedEventList.UnpostedEvent.UnpostedEventType
,IntEnrollment,ctgov,studies,enrollment,integer,"For Interventional Study Design, Enrollment is required by FDAAA.    For Observational Study Design, Enrollment is required by ClinicalTrials.gov (*)",,ProtocolSection.DesignModule.EnrollmentInfo.EnrollmentCount
,,ctgov,ipd_information_types,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,,ctgov,design_group_interventions,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,BriefSummary,ctgov,brief_summaries,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,OfficialTitle,ctgov,studies,official_title,text,,,ProtocolSection.IdentificationModule.OfficialTitle
,https://prsinfo.clinicaltrials.gov/definitions.html,ctgov,studies,source,string,,,ProtocolSection.IdentificationModule.Organization.OrgFullName
,,ctgov,studies,created_at,timestamps,(AACT assigned timestamp) Date/time the study was loaded into AACT from ClinicalTrials.gov,,n/a
,,ctgov,studies,updated_at,timestamps,"(AACT assigned timestamp) Last date/time the row was modified (At this point, this value should always be same ascreated_at)",,n/a
,,ctgov,design_group_interventions,design_group_id,integer,AACT assigned foreign key,,n/a
,,ctgov,design_group_interventions,intervention_id,integer,AACT assigned foreign key,,n/a
,,ctgov,ipd_information_types,id,integer,AACT assigned primary key,,n/a
,,ctgov,design_group_interventions,id,integer,AACT assigned primary key,,n/a
,BriefSummary,ctgov,brief_summaries,id,integer,AACT assigned primary key,,n/a
,Result_LimitationsAndCaveats_descriptionLabel,ctgov,studies,limitations_and_caveats,string,,,ResultsSection.MoreInfoModule.LimitationsAndCaveatsDescription
,OverallStatus,ctgov,studies,why_stopped,string,,,ProtocolSection.StatusModule.WhyStopped
,ObsBiospecimenRetention,ctgov,studies,biospec_description,text,,,ProtocolSection.DesignModule.BioSpec.BioSpecDescription
,PlantoShareIPD,ctgov,studies,plan_to_share_ipd_description,string,,,ProtocolSection.IPDSharingStatementModule.IPDSharingDescription
,,ctgov,studies,ipd_time_frame,string,,,ProtocolSection.IPDSharingStatementModule.IPDSharingTimeFrame
,,ctgov,studies,ipd_url,string,,,ProtocolSection.IPDSharingStatementModule.IPDSharingURL
,ContactEmail,ctgov,facility_contacts,email,string,,,ProtocolSection.ContactsLocationsModule.LocationList.Location.LocationContactList.LocationContact.LocationContactEMail
,InterventionName,ctgov,interventions,name,string,,,ProtocolSection.ArmsInterventionsModule.InterventionList.Intervention.InterventionName
,ExpandedAccessStatus,ctgov,studies,expanded_access_type_intermediate,boolean,,"null (480,233 - 99.96%)true (170 - 0.04%)",ProtocolSection.DesignModule.ExpandedAccessTypes.ExpAccTypeIntermediate
,ExpandedAccessStatus,ctgov,studies,has_expanded_access,boolean,,"false (473,239 - 98.51%)null (6,293 - 1.31%)true (871 - 0.18%)",ProtocolSection.StatusModule.ExpandedAccessInfo.HasExpandedAccess
,hasDMC,ctgov,studies,has_dmc,boolean,,"false (249,572 - 51.95%)true (140,291 - 29.2%)null (90,540 - 18.85%)",ProtocolSection.OversightModule.OversightHasDMC
,FDAReg,ctgov,studies,is_fda_regulated_device,boolean,,"false (242,433 - 50.46%)null (223,026 - 46.42%)true (14,944 - 3.11%)",ProtocolSection.OversightModule.IsFDARegulatedDevice
,PediatricPostmarket,ctgov,studies,is_ppsd,boolean,,"null (480,391 - 100.0%)true (12 - 0.0%)",ProtocolSection.OversightModule.IsPPSD
,section801,ctgov,studies,is_unapproved_device,boolean,,"null (476,968 - 99.28%)true (3,435 - 0.72%)",ProtocolSection.OversightModule.IsUnapprovedDevice
,StudyPhase,ctgov,studies,phase,string,,"Not Applicable (175,937 - 36.62%)null (111,309 - 23.17%)Phase 2 (56,282 - 11.72%)Phase 1 (41,674 - 8.67%)Phase 3 (37,537 - 7.81%)Phase 4 (31,788 - 6.62%)Phase 1/Phase 2 (14,324 - 2.98%)Phase 2/Phase 3 (6,678 - 1.39%)Early Phase 1 (4,874 - 1.01%)",ProtocolSection.DesignModule.PhaseList.Phase
,PlantoShareIPD,ctgov,studies,plan_to_share_ipd,string,,"null (260,108 - 54.14%)No (146,494 - 30.49%)Undecided (38,221 - 7.96%)Yes (35,580 - 7.41%)",ProtocolSection.IPDSharingStatementModule.IPDSharing
,StudyType,ctgov,studies,study_type,string,,"Interventional (369,158 - 76.84%)Observational (98,076 - 20.42%)Observational [Patient Registry] (11,360 - 2.36%)Expanded Access (926 - 0.19%)null (883 - 0.18%)",ProtocolSection.DesignModule.StudyType
,ExpandedAccessStatus,ctgov,studies,expanded_access_type_individual,boolean,,"null (480,151 - 99.95%)true (252 - 0.05%)",ProtocolSection.DesignModule.ExpandedAccessTypes.ExpAccTypeIndividual
,,ctgov,browse_conditions,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,,ctgov,browse_interventions,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,BriefSummary,ctgov,brief_summaries,description,text,,,ProtocolSection.DescriptionModule.BriefSummary
,StudyOfficials,ctgov,overall_officials,role,string,,,ProtocolSection.ContactsLocationsModule.OverallOfficialList.OverallOfficial.OverallOfficialRole
,SeriousAE_AtRisk,ctgov,reported_events,subjects_at_risk,integer,,,ResultsSection.AdverseEventsModule.SeriousEventList.SeriousEvent.SeriousEventStatsList.SeriousEventStats.SeriousEventStatsNumAtRisk or ResultsSection.AdverseEventsModule.OtherEventList.OtherEvent.OtherEventStatsList.OtherEventStats.OtherEventStatsNumAtRisk
,Result_AdverseEventsImgResult_AdverseEvents_ArmGroup,ctgov,reported_events,ctgov_group_code,string,,,ResultsSection.AdverseEventsModule.SeriousEventList.SeriousEvent.SeriousEventStatsList.SeriousEventStats.SeriousEventStatsGroupId or ResultsSection.AdverseEventsModule.OtherEventList.OtherEvent.OtherEventStatsList.OtherEventStats.OtherEventStatsGroupId
,NonInferComments,ctgov,outcome_analyses,non_inferiority_description,text,,,ResultsSection.OutcomeMeasuresModule.OutcomeMeasureList.OutcomeMeasure.OutcomeAnalysisList.OutcomeAnalysis.OutcomeAnalysisNonInferiorityComment
,Result_Outcome_Analysis_ciLowerLimit,ctgov,outcome_analyses,ci_lower_limit,decimal,,,ResultsSection.OutcomeMeasuresModule.OutcomeMeasureList.OutcomeMeasure.OutcomeAnalysisList.OutcomeAnalysis.OutcomeAnalysisCILowerLimit
,Result_Outcome_Analysis_estimationComment,ctgov,outcome_analyses,estimate_description,text,,,ResultsSection.OutcomeMeasuresModule.OutcomeMeasureList.OutcomeMeasure.OutcomeAnalysisList.OutcomeAnalysis.OutcomeAnalysisEstimateComment
,,ctgov,browse_conditions,mesh_term,string,Condition MeSH terms generated by NLM algorithm,,DerivedSection.ConditionBrowseModule.ConditionMeshList.ConditionMesh.ConditionMeshTerm or DerivedSection.ConditionBrowseModule.ConditionAncestorList.ConditionAncestor.ConditionAncestorTerm
,,ctgov,browse_interventions,id,integer,AACT assigned primary key,,n/a
,,ctgov,browse_interventions,mesh_term,string,Intervention MeSH terms generated by NLM algorithm,,ProtocolSection.DerivedSection.InterventionBrowseModule.InterventionMeshList.InterventionMesh.InterventionMeshTerm
,,ctgov,calculated_values,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,OtherAE_Affected,ctgov,calculated_values,number_of_nsae_subjects,integer,count number of related non-serious event rows,,ResultsSection.AdverseEventsModule.SeriousEventList.SeriousEvent.SeriousEventTerm
,SeriousTotalAffected,ctgov,calculated_values,number_of_sae_subjects,integer,count number of related serious event rows,,ResultsSection.AdverseEventsModule.OtherEventList.OtherEvent.OtherEventTerm
,,ctgov,calculated_values,nlm_download_date,date,Date NLM made study available via their API.,,n/a
,OverallStudyContact,ctgov,central_contacts,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,,ctgov,calculated_values,id,integer,AACT assigned primary key,,n/a
, ,ctgov,central_contacts,id,integer,AACT assigned primary key,,n/a
, ,ctgov,conditions,id,integer,AACT assigned primary key,,n/a
,PrimaryCompletionDate,ctgov,calculated_values,actual_duration,integer,Number of months between start_date & primary_completion_date,,. -
,,ctgov,calculated_values,months_to_report_results,integer,Number of months between primary_completion_date & first_received_results_date,,. -
,,ctgov,calculated_values,number_of_primary_outcomes_to_measure,integer,count number of primary outcomes that the investigator intends to measure,,..
,ArmsGroupsInterventionsBody,ctgov,design_groups,description,text,,,ProtocolSection.ArmsInterventionsModule.ArmGroupList.ArmGroup.ArmGroupDescription
,NonInfer,ctgov,outcome_analyses,non_inferiority_type,string,,"Superiority or Other (98,143 - 37.18%)Superiority (90,980 - 34.47%)Other (36,535 - 13.84%)Superiority or Other (legacy) (21,929 - 8.31%)Non-Inferiority or Equivalence (7,183 - 2.72%)Non-Inferiority (4,518 - 1.71%)Equivalence (3,920 - 1.49%)Non-Inferiority or Equivalence (legacy) (751 - 0.28%)",ResultsSection.OutcomeMeasuresModule.OutcomeMeasureList.OutcomeMeasure.OutcomeAnalysisList.OutcomeAnalysis.OutcomeAnalysisNonInferiorityType
,InterventionType,ctgov,interventions,intervention_type,string,,"Drug (352,337 - 43.22%)Other (135,141 - 16.58%)Device (81,013 - 9.94%)Behavioral (73,823 - 9.06%)Procedure (70,999 - 8.71%)Biological (40,677 - 4.99%)Dietary Supplement (24,307 - 2.98%)Diagnostic Test (19,471 - 2.39%)Radiation (10,890 - 1.34%)Genetic (3,541 - 0.43%)Combination Product (3,055 - 0.37%)",ProtocolSection.ArmsInterventionsModule.InterventionList.Intervention.InterventionType
,,ctgov,calculated_values,number_of_secondary_outcomes_to_measure,integer,count number of secondary outcomes that the investigator intends to measure,,..
,,ctgov,calculated_values,number_of_other_outcomes_to_measure,integer,count number of other outcomes that the investigator intends to measure,,..
,ConditionsLabel,ctgov,conditions,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,OverallStudyContact,ctgov,central_contacts,name,string,,,ProtocolSection.ContactsLocationsModule.CentralContactList.CentralContact.CentralContactName
,OverallStudyContact,ctgov,central_contacts,phone,string,,,ProtocolSection.ContactsLocationsModule.CentralContactList.CentralContact.CentralContactPhone and ProtocolSection.ContactsLocationsModule.CentralContactList.CentralContact.CentralContactPhoneExt
,OverallStudyContact,ctgov,central_contacts,email,string,,,ProtocolSection.ContactsLocationsModule.CentralContactList.CentralContact.CentralContactEMail
,NumberOfArms,ctgov,studies,number_of_arms,integer,"The number of groups for interventional studies, it is NULL when the study is not an interventional study",,n/a
,Facility,ctgov,calculated_values,number_of_facilities,integer,count number of related facility rows,,n/a
,EligibilityMinAge,ctgov,calculated_values,minimum_age_num,integer,convert minimum age to an integer,,  ProtocolSection.EligibilityModule.MinimumAge
,EligibilityMaxAge,ctgov,calculated_values,maximum_age_num,integer,convert maximum age to an integer,,  ProtocolSection.EligibilityModule.MaximumAge
,EligibilityMinAge,ctgov,calculated_values,minimum_age_unit,string,part of minimum age info that specifies units,,  ProtocolSection.EligibilityModule.MinimumAge
,EligibilityMaxAge,ctgov,calculated_values,maximum_age_unit,string,part of maximum age info that specifies units,,  ProtocolSection.EligibilityModule.MaximumAge
, ,ctgov,countries,id,integer,AACT assigned primary key,,n/a
,FacilityCountry,ctgov,countries,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,ConditionsLabel,ctgov,conditions,name,string,,,ProtocolSection.ConditionsModule.ConditionList.Condition
,FacilityCountry,ctgov,countries,removed,boolean,True if value from removed_countries,,DerivedSection.MiscInfoModule.RemovedCountryList.RemovedCountry
,FacilityCountry,ctgov,countries,name,string,,,DerivedSection.MiscInfoModule.RemovedCountryList.RemovedCountry
,ArmsGroupsInterventionsLabel,ctgov,design_groups,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,ArmsGroupsInterventionsLabel,ctgov,design_groups,id,integer,The Design_Groups table contains info for study arms/groups that are provided when the study is registered.This table does not include results info  (see Result_Groups table.) ,,n/a
,ArmsGroupsInterventionsBody,ctgov,design_groups,title,string,"This tag is available only of those studies that have results and indicates the date when the results were first received.  This field captures the arm label or the group cohort label for the records coming from study tables, and arm/group title for the results tables. ",,ProtocolSection.ArmsInterventionsModule.InterventionList.Intervention.InterventionArmGroupLabelList.InterventionArmGroupLabel
,OutcomesBody,ctgov,design_outcomes,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,OutcomesBody,ctgov,design_outcomes,id,integer,AACT assigned primary key,,n/a
,,ctgov,calculated_values,were_results_reported,boolean,Set to true if clinical_results exist,"false (418,418 - 87.1%)true (61,985 - 12.9%)",
,OverallStudyContactBackup,ctgov,central_contacts,contact_type,string," 'backup' if value from 
'regular' if value from ","primary (124,413 - 67.24%)backup (60,623 - 32.76%)",.(or)
,ArmType,ctgov,design_groups,group_type,string,,"Experimental (419,623 - 48.17%)Active Comparator (163,833 - 18.81%)null (130,663 - 15.0%)Placebo Comparator (68,191 - 7.83%)No Intervention (44,105 - 5.06%)Other (35,310 - 4.05%)Sham Comparator (9,402 - 1.08%)",ProtocolSection.ArmsInterventionsModule.ArmGroupList.ArmGroup.ArmGroupType
,StudyDesignLabel,ctgov,designs,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,OutcomesBody,ctgov,design_outcomes,measure,text,,,ProtocolSection.OutcomesModule.PrimaryOutcomeList.PrimaryOutcome.PrimaryOutcomeMeasure or ProtocolSection.OutcomesModule.SecondaryOutcomeList.SecondaryOutcome.SecondaryOutcomeMeasure or ProtocolSection.OutcomesModule.OtherOutcomeList.OtherOutcome.OtherOutcomeMeasure
,OutcomesBody,ctgov,design_outcomes,time_frame,text,,,ProtocolSection.OutcomesModule.PrimaryOutcomeList.PrimaryOutcome.PrimaryOutcomeTimeFrame or ProtocolSection.OutcomesModule.SecondaryOutcomeList.SecondaryOutcome.SecondaryOutcomeTimeFrame
,OutcomesBody,ctgov,design_outcomes,description,text,,,ProtocolSection.ArmsInterventionsModule.ArmGroupList.ArmGroup.ArmGroupDescription
,OutcomesBody,ctgov,design_outcomes,population,string,,,Not using at the moment 
,StudyDesignLabel,ctgov,designs,id,integer,(AACT assigned primary key)  Many values in this table are derived Per NLM's data element ,,n/a
,ObsTiming,ctgov,designs,time_perspective,string,,,ProtocolSection.DesignModule.DesignInfo.DesignTimePerspectiveList.DesignTimePerspective
,IntDesign,ctgov,designs,intervention_model_description,text,,,ProtocolSection.DesignModule.DesignInfo.DesignInterventionModelDescription
,IntMasking,ctgov,designs,masking_description,text,,,ProtocolSection.DesignModule.DesignInfo.DesignMaskingInfo.DesignMaskingDescription
,DetailedDescription,ctgov,detailed_descriptions,id,integer,AACT assigned primary key,,n/a
,DetailedDescription,ctgov,detailed_descriptions,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,DocumentUpload,ctgov,documents,nct_id,string,AACT foreign key to Study,,ProtocolSection.IdentificationModule.NCTId
,DocumentUpload,ctgov,documents,document_id,string,,,ProtocolSection.ReferencesModule.AvailIPDList.AvailIPD.AvailIPDId
,DetailedDescription,ctgov,detailed_descriptions,description,text,,,ProtocolSection.DescriptionModule.DetailedDescription
,DocumentUpload,ctgov,documents,id,integer,AACT assigned primary key,,n/a
,DocumentUpload,ctgov,provided_documents,id,integer,AACT assigned primary key,,n/a
,IntMasking,ctgov,designs,masking,string,,"None (Open Label) (203,005 - 42.66%)null (111,969 - 23.53%)Single (52,287 - 10.99%)Double (50,351 - 10.58%)Quadruple (33,806 - 7.1%)Triple (24,437 - 5.14%)",ProtocolSection.DesignModule.DesignInfo.DesignMaskingInfo.DesignMasking
,ObsStudyModel,ctgov,designs,observational_model,string,,"null (372,260 - 78.23%)Cohort (61,038 - 12.83%)Case-Control (14,868 - 3.12%)Case-Only (14,502 - 3.05%)Other (9,436 - 1.98%)Ecologic or Community (1,364 - 0.29%)Case-Crossover (1,125 - 0.24%)Defined Population (651 - 0.14%)Family-Based (522 - 0.11%)Natural History (89 - 0.02%)",ProtocolSection.DesignModule.DesignInfo.DesignObservationalModelList.DesignObservationalModel
,IntPurpose,ctgov,designs,primary_purpose,string,,"Treatment (236,911 - 49.79%)null (113,964 - 23.95%)Prevention (39,584 - 8.32%)Other (19,081 - 4.01%)Supportive Care (18,720 - 3.93%)Basic Science (17,631 - 3.71%)Diagnostic (16,268 - 3.42%)Health Services Research (9,126 - 1.92%)Screening (3,225 - 0.68%)Device Feasibility (1,161 - 0.24%)Educational/Counseling/Training (184 - 0.04%)",ProtocolSection.DesignModule.DesignInfo.DesignPrimaryPurpose
,IntMasking,ctgov,designs,caregiver_masked,boolean,Parse content of 'Masking:' section. If it includes  'Caregiver' set to true,"null (422,167 - 88.72%)true (53,688 - 11.28%)",ProtocolSection.DesignModule.DesignInfo.DesignMaskingInfo.DesignWhoMaskedList.DesignWhoMasked
,IntMasking,ctgov,designs,investigator_masked,boolean,Parse content of 'Masking:' section. If it includes  'Investigator' set to true,"null (384,728 - 80.85%)true (91,127 - 19.15%)",ProtocolSection.DesignModule.DesignInfo.DesignMaskingInfo.DesignWhoMaskedList.DesignWhoMasked
,IntMasking,ctgov,designs,outcomes_assessor_masked,boolean,Parse content of 'Masking:' section. If it includes  'Outcomes_Assessor' set to true,"null (389,029 - 81.75%)true (86,826 - 18.25%)",ProtocolSection.DesignModule.DesignInfo.DesignMaskingInfo.DesignWhoMaskedList.DesignWhoMasked
,IntMasking,ctgov,designs,subject_masked,boolean,Parse content of 'Masking:' section. If it includes  'Subject' set to true,"null (359,477 - 75.54%)true (116,378 - 24.46%)",ProtocolSection.DesignModule.DesignInfo.DesignMaskingInfo.DesignWhoMaskedList.DesignWhoMasked
